timestamp,-1min,sma7,sma25,sma50,ema7,ema25,ema50,close
1682176620,27412.92,27434.675039585763,27409.949052167904,27372.905367908206,27425.029812753182,27434.54919292308,27408.923594141037,27402.67
1682176680,27402.67,27433.678605359226,27410.659090081183,27374.00126055004,27425.697359564885,27434.022331929,27409.65992378256,27427.7
1682176740,27427.7,27434.734518879337,27411.875526477932,27375.342635339042,27429.54051967366,27434.564460242153,27410.89169147736,27441.07
1682176800,27441.07,27436.235301896573,27413.210105418813,27376.74058263226,27433.465389755245,27435.38565560814,27412.238683968444,27445.24
1682176860,27445.24,27436.374544482773,27414.17010120206,27377.949970979615,27434.40154231643,27435.52598979213,27413.2179512638,27437.21
1682176920,27437.21,27437.818180985236,27415.462497153974,27379.32057156002,27437.421156737324,27436.368605961965,27414.522345331887,27446.48
1682176980,27446.48,27438.968440844485,27416.678797267814,27380.65156012882,27439.53336755299,27437.099482426427,27415.751665122792,27445.87
1682177040,27445.87,27439.9543778667,27417.8464453771,27381.955928926243,27441.11752566474,27437.774137624398,27416.93277629445,27445.87
1682177100,27445.87,27440.18375245717,27418.794987562018,27383.14801034772,27441.228144248555,27438.065357807136,27417.8985497731,27441.56
1682177160,27441.56,27439.12750210615,27419.354788059536,27384.140850140764,27439.118608186414,27437.65956105274,27418.482528213375,27432.79
1682177220,27432.79,27440.002144662412,27420.390596537152,27385.36303313795,27440.65145613981,27438.24344097176,27419.53223298932,27445.25
1682177280,27445.25,27444.081838282065,27422.31737267567,27387.026972475192,27447.62859210486,27440.57548397393,27421.45489051915,27468.56
1682177340,27468.56,27448.28300424177,27424.364277768644,27388.756233025688,27454.093944078646,27443.107369822093,27423.495483047813,27473.49
1682177400,27473.49,27454.072575064376,27426.942106657898,27390.757308365177,27462.772958058984,27446.622956758853,27426.056836653785,27488.81
1682177460,27488.81,27460.26792148375,27429.76202239158,27392.890962197875,27471.43971854424,27450.531960085093,27428.856176392852,27497.44
1682177520,27497.44,27466.18821841464,27432.639941495916,27395.067342953917,27479.00728890818,27454.46873238624,27431.713189083326,27501.71
1682177580,27501.71,27469.09418721255,27434.79554383608,27396.89659609484,27480.887966681134,27456.934983741143,27433.862867942807,27486.53
1682177640,27486.53,27475.12644618219,27437.856522082635,27399.185064172943,27488.495975010854,27461.118446530287,27436.900402533283,27511.32
1682177700,27511.32,27477.566953870446,27440.030661199326,27401.04556288948,27489.42448125814,27463.5101044895,27439.06940635551,27492.21
1682177760,27492.21,27478.574531888957,27441.81423475135,27402.71705163169,27488.2233609436,27465.13394260569,27440.855704145488,27484.62
1682177820,27484.62,27478.802455904817,27443.348465361298,27404.266110599056,27486.2100207077,27466.29056240525,27442.397441237823,27480.17
1682177880,27480.17,27479.91210506127,27445.077326746843,27405.912188387076,27486.300015530775,27467.85051914331,27444.12969844418,27486.57
1682177940,27486.57,27479.74323290966,27446.423433676966,27407.368544619334,27484.407511648078,27468.687402286134,27445.486573014998,27478.73
1682178000,27478.73,27479.632771065422,27447.725296329885,27408.80057372695,27483.048133736058,27469.47837134105,27446.799648583037,27478.97
1682178060,27478.97,27480.07237519893,27449.12468447669,27410.27876225241,27482.963600302042,27470.496188930203,27448.20789765821,27482.71
1682178120,27482.71,27477.62346445623,27449.676897097626,27411.33178700736,27477.955200226534,27469.91417439711,27448.785235004947,27462.93
1682178180,27462.93,27475.025826676767,27450.06742121372,27412.29395126721,27473.3264001699,27469.108468674254,27449.20306892632,27459.44
1682178240,27459.44,27473.737851437232,27450.70512436517,27413.368272241867,27471.497300127423,27468.870124930083,27449.86216426254,27466.01
1682178300,27466.01,27472.812444089057,27451.367319390563,27414.44610679703,27470.437975095567,27468.746269166233,27450.544432330676,27467.26
1682178360,27467.26,27473.439237790622,27452.40062661494,27415.70118466109,27472.128481321673,27469.396556153446,27451.589748709863,27477.2
