timestamp,-1min,sma7,sma25,sma50,ema7,ema25,ema50,price
1681483860,30653.76,30642.667287102555,30654.113024891383,30678.59027509111,30646.226616848777,30642.421039417135,30654.649497621187,30643.16
1681483920,30643.16,30636.763388945048,30652.002103895727,30677.04526958929,30635.00496263658,30639.26095946197,30652.558929087023,30601.34
1681483980,30601.34,30624.62290481004,30647.993219739896,30674.539964197505,30614.198721977435,30632.531654887975,30648.606814220868,30551.78
1681484040,30551.78,30616.18820412289,30644.696690950295,30672.36076491356,30602.044041483077,30627.3815275889,30645.350860722006,30565.58
1681484100,30565.58,30610.59274639105,30641.989623312285,30670.45394961529,30595.788031112308,30623.507563928215,30642.671219125066,30577.02
1681484160,30577.02,30606.00235404947,30639.448438379794,30668.61407062298,30591.456023334227,30620.042366702968,30640.153132100553,30578.46
1681484220,30578.46,30603.656303470972,30637.4537008446,30667.033389210523,30590.98701750067,30617.699107725817,30638.169872018174,30589.58
1681484280,30589.58,30605.763974403693,30636.691952810812,30666.06092142631,30597.842763125504,30617.75379174691,30637.394975076288,30618.41
1681484340,30618.41,30609.01483520316,30636.36507469838,30665.310102997784,30605.51207234413,30618.58196161253,30637.046936838004,30628.52
1681484400,30628.52,30612.099858745565,30636.134871710445,30664.61610093783,30611.786554258095,30619.50719533464,30636.794507942395,30630.61
1681484460,30630.61,30616.215593210483,30636.32587684203,30664.141978919073,30619.06741569357,30621.15356492428,30636.955899787794,30640.91
1681484520,30640.91,30620.644794180414,30636.761641768346,30663.80353934069,30626.10556177018,30623.158675314717,30637.358413521608,30647.22
1681484580,30647.22,30617.9441092975,30635.360776097612,30662.562268553873,30620.014171327635,30621.51108490589,30635.96161299135,30601.74
1681484640,30601.74,30587.946379397854,30626.264745053704,30657.470223182794,30567.000628495727,30605.08407837467,30627.020373266194,30407.96
1681484700,30407.96,30568.73118234102,30619.351755251555,30653.389618719135,30538.610471371794,30593.419149268928,30620.213299804775,30453.44
1681484760,30453.44,30555.263870578015,30613.55608504149,30649.811026344752,30522.572853528844,30584.26844547901,30614.497484126157,30474.46
1681484820,30474.46,30545.410460495445,30608.465441639833,30646.540605817856,30513.502140146637,30576.731641980623,30609.469739650624,30486.29
