timestamp,-1min,-2min,-3min,-4min,-5min,-6min,-7min,-8min,-9min,-10min,-11min,-12min,-13min,-14min,-15min,-16min,-17min,-18min,-19min,-20min,-21min,-22min,-23min,-24min,-25min,-26min,-27min,-28min,-29min,-30min,-31min,-32min,-33min,-34min,-35min,-36min,-37min,-38min,-39min,-40min,-41min,-42min,-43min,-44min,-45min,-46min,-47min,-48min,-49min,-50min,MA7,MA25,MA50,price
1680843840,28029.56,28029.47,28032.01,28030.3,28032.07,28029.55,28029.17,28032.01,28026.77,28024.34,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28030.304285714286,28046.1708,28046.72060000001,28028.2
1680843900,28028.2,28029.56,28029.47,28032.01,28030.3,28032.07,28029.55,28029.17,28032.01,28026.77,28024.34,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28030.165714285715,28044.7088,28046.517200000006,28029.54
1680843960,28029.54,28028.2,28029.56,28029.47,28032.01,28030.3,28032.07,28029.55,28029.17,28032.01,28026.77,28024.34,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28030.164285714283,28043.251599999996,28046.324600000004,28027.71
1680844020,28027.71,28029.54,28028.2,28029.56,28029.47,28032.01,28030.3,28032.07,28029.55,28029.17,28032.01,28026.77,28024.34,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28029.541428571425,28041.599999999995,28046.14840000001,28026.58
1680844080,28026.58,28027.71,28029.54,28028.2,28029.56,28029.47,28032.01,28030.3,28032.07,28029.55,28029.17,28032.01,28026.77,28024.34,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28029.010000000002,28039.838399999997,28045.983600000007,28027.05
1680844140,28027.05,28026.58,28027.71,28029.54,28028.2,28029.56,28029.47,28032.01,28030.3,28032.07,28029.55,28029.17,28032.01,28026.77,28024.34,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28028.30142857143,28038.072399999997,28045.889800000008,28025.46
1680844200,28025.46,28027.05,28026.58,28027.71,28029.54,28028.2,28029.56,28029.47,28032.01,28030.3,28032.07,28029.55,28029.17,28032.01,28026.77,28024.34,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28032.34,28027.72857142857,28036.224399999996,28045.683200000003,28023.37
1680844260,28023.37,28025.46,28027.05,28026.58,28027.71,28029.54,28028.2,28029.56,28029.47,28032.01,28030.3,28032.07,28029.55,28029.17,28032.01,28026.77,28024.34,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28031.62,28026.84428571429,28034.255999999998,28045.503800000002,28022.61
1680844320,28022.61,28023.37,28025.46,28027.05,28026.58,28027.71,28029.54,28028.2,28029.56,28029.47,28032.01,28030.3,28032.07,28029.55,28029.17,28032.01,28026.77,28024.34,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28033.31,28026.045714285716,28032.396800000002,28045.323600000003,28024.51
1680844380,28024.51,28022.61,28023.37,28025.46,28027.05,28026.58,28027.71,28029.54,28028.2,28029.56,28029.47,28032.01,28030.3,28032.07,28029.55,28029.17,28032.01,28026.77,28024.34,28024.37,28023.48,28018.23,28041.09,28060.99,28066.02,28069.97,28069.09,28072.58,28071.66,28071.2,28070.62,28069,28065.97,28064.75,28063.36,28064.94,28065.66,28063.62,28067.05,28067.61,28066.41,28064.21,28060.45,28060.32,28056.29,28057.33,28036.71,28026.82,28015.35,28031.95,28025.327142857135,28030.578399999995,28045.147599999997,28022.8
