"DateTime","Positive","Neutral","Negative","Price"
"2020-08-10 00:00:00",10699,28564,2237,11857.36
"2020-08-11 00:00:00",10337,26292,2233,11539.5
"2020-08-12 00:00:00",11813,24910,2089,11401.925
"2020-08-13 00:00:00",9085,25715,2102,11539.955
"2020-08-14 00:00:00",10265,26182,2056,11760.315
"2020-08-15 00:00:00",9301,24895,2082,11839.75
"2020-08-16 00:00:00",8711,22245,1779,11818.09
"2020-08-17 00:00:00",10753,32234,2404,12125.195
"2020-08-18 00:00:00",9503,27131,2222,12126.32
"2020-08-19 00:00:00",9370,26019,2347,11807
"2020-08-20 00:00:00",9099,25811,1959,11783.875
"2020-08-21 00:00:00",10152,26242,2332,11688.595000000001
"2020-08-22 00:00:00",8076,21251,1933,11532.54
"2020-08-23 00:00:00",8449,19266,1586,11617.61
"2020-08-24 00:00:00",9117,23220,1980,11711.045
"2020-08-25 00:00:00",9041,24357,2417,11449
"2020-08-26 00:00:00",9130,22964,1930,11400.939999999999
"2020-08-27 00:00:00",13306,24683,1975,11363.58
"2020-08-28 00:00:00",10400,23198,1601,11421.439999999999
"2020-08-29 00:00:00",11066,18987,1271,11509.89
"2020-08-30 00:00:00",9707,17831,1413,11594.525
"2020-08-31 00:00:00",9566,22046,1561,11680.815
"2020-09-01 00:00:00",9823,28766,1879,11801.24
"2020-09-02 00:00:00",8532,26367,2121,11586.735
"2020-09-03 00:00:00",9133,27596,2424,10743.315
"2020-09-04 00:00:00",9413,26319,2471,10329.365
"2020-09-05 00:00:00",8038,21495,2227,10225.5
"2020-09-06 00:00:00",6531,18480,1552,10190.34
"2020-09-07 00:00:00",7537,22133,2087,10152.8
"2020-09-08 00:00:00",9203,24321,1979,10149.7
"2020-09-09 00:00:00",10100,23108,1729,10169.36
"2020-09-10 00:00:00",9130,22170,1637,10357.345000000001
"2020-09-11 00:00:00",8096,20161,1746,10314.045
"2020-09-12 00:00:00",7167,17406,1295,10384.595000000001
"2020-09-13 00:00:00",6890,17318,1368,10401.685
"2020-09-14 00:00:00",7791,20813,1371,10506.475
"2020-09-15 00:00:00",8110,23413,1801,10784.575
"2020-09-16 00:00:00",8139,24540,1940,10882.36
"2020-09-17 00:00:00",8633,22107,1780,10901.619999999999
"2020-09-18 00:00:00",20666,21705,1679,10932.295
"2020-09-19 00:00:00",12051,18573,1279,11036.255
"2020-09-20 00:00:00",7769,18101,1699,10929.564999999999
"2020-09-21 00:00:00",8904,23966,2541,10655.99
"2020-09-22 00:00:00",8008,20808,1895,10471.455
"2020-09-23 00:00:00",8560,21198,1810,10356.55
"2020-09-24 00:00:00",7996,21502,1631,10502.96
"2020-09-25 00:00:00",5449,13447,952,10662.259999999998
"2020-09-26 00:00:00",4663,10677,921,10740.57
"2020-09-27 00:00:00",8739,15514,1339,10711.385
"2020-09-28 00:00:00",8127,19461,1548,10800.39
"2020-09-29 00:00:00",8341,19027,1577,10752.025000000001
"2020-09-30 00:00:00",11724,19344,1591,10758.145
"2020-10-01 00:00:00",15639,21221,2242,10690.564999999999
"2020-10-02 00:00:00",16513,20075,2308,10528.279999999999
"2020-10-03 00:00:00",10850,15711,1348,10554.885
"2020-10-04 00:00:00",8726,15185,1377,10617.220000000001
"2020-10-05 00:00:00",9077,19290,1487,10713.650000000001
"2020-10-06 00:00:00",8455,25176,1918,10667.49
"2020-10-07 00:00:00",9840,19569,2033,10617.085
"2020-10-08 00:00:00",13747,25680,1891,10749.310000000001
"2020-10-09 00:00:00",14548,23591,1862,10974.31
"2020-10-10 00:00:00",10899,23391,1523,11271.705
"2020-10-11 00:00:00",9302,19045,1322,11359.095000000001
"2020-10-12 00:00:00",10451,23681,1758,11474.635
